кто	дата	счет	статья	сумма	примечания	остаток после					счета		
Л	28.02.2016	кошелек.Л	в долг	-5 000,00	Долг маме	42 392,00	2016.2						
Л	28.02.2016	кошелек.Л	хоз.расходы	-1 300,00	химчистка пальто золотое	41 092,00	2016.2						
Л	28.02.2016	кошелек.Л	транспорт	-1 570,00	Карта метро	39 522,00	2016.2						
Л	28.02.2016	кошелек.Л	кофе	-300,00	Кофе	39 222,00	2016.2						
Л	28.02.2016	сбер.вклад	перевод	-10 000,00	Перевод в кошелек л	781 102,13	2016.2						
Л	28.02.2016	кошелек.Л	Здоровье	-5 150,00	Лечение зуба	34 072,00	2016.2						
Л	28.02.2016	кошелек.Л	перевод	10 000,00	Со вклада в кошелек л	44 072,00	2016.2						
Л	28.02.2016	кошелек.Л	продукты	-1 000,00	Продукты	43 072,00	2016.2						
Л	29.02.2016	кошелек.Л	кофе	-150,00	кофе вкусный и человеческий, не удержалась	42 922,00	2016.2						
Л	29.02.2016	кошелек.Л	транспорт	-180,00	маршрутка	42 742,00	2016.2						
Л	29.02.2016	л.карта.сбер	связь	-300,00	мне на тел.	0,00	2016.2						
Л	29.02.2016	кошелек.Л	перевод	-5 000,00	на карту сбер ЖКХ	37 742,00	2016.2						
Л	29.02.2016	л.карта.сбер	перевод	5 000,00		5 000,00	2016.2						
Л	29.02.2016	л.карта.сбер	ЖКХ	-4 002,00	телефон, ЖКХ	998,00	2016.2						
В	29.02.2016	кошелек.В	еда.обед	-300,00		2 050,00	2016.2						
В	29.02.2016	кошелек.В	авто.топливо	-500,00		1 550,00	2016.2						
В	29.02.2016	кошелек.В	еда.обед	-200,00		1 350,00	2016.2						
Л	29.02.2016	кошелек.Л	хозтовары	-2 191,00	краска, шампуни	35 551,00	2016.2						
Л	01.03.2016	л.карта.сбер	связь	-300,00	на моб Лера	698,00	2016.3						
В	01.03.2016	кошелек.В	еда.обед	-300,00		1 050,00	2016.3						
В	01.03.2016	кошелек.В	продукты	-300,00		750,00	2016.3						
В	02.03.2016	кошелек.В	продукты	-100,00		650,00	2016.3						
Л	02.03.2016	л.карта.сбер	авон	1 493,00	т.Надя за Авон	2 191,00	2016.3						
Л	02.03.2016	кошелек.Л	зарплата	46 000,00	зп за февраль	81 551,00	2016.3						
Л	02.03.2016	кошелек.Л	авон	-3 000,00	за авон	78 551,00	2016.3						
В	02.03.2016	кошелек.В	еда.обед	-300,00		350,00	2016.3						
Л	03.03.2016	карта старая.В	развлеченья	-263,17	apple music 	368,30	2016.3						
В	24.02.2016	карта старая.В	вещи	-120,00	фильтры для кофе	248,30	2016.2						
Л	03.03.2016	кошелек.Л	сигареты	-90,00	сигареты	78 461,00	2016.3						
Л	03.03.2016	кошелек.Л	продукты	-70,00	шоколадка	78 391,00	2016.3						
В	03.03.2016	кошелек.В	еда.обед	-300,00	обед	50,00	2016.3						
Л	03.03.2016	кошелек.Л	транспорт	-70,00	маршрутка	78 321,00	2016.3						
Л	03.03.2016	кошелек.Л	еда.обед	-180,00	обед	78 141,00	2016.3						
Л	03.03.2016	кошелек.Л	кофе	-300,00	кофе	77 841,00	2016.3						
Л	03.03.2016	кошелек.Л	еда.обед	-140,00	печенье	77 701,00	2016.3						
В	03.03.2016	карта зарпл.В	перевод	-35,00		4,76	2016.3						
В	03.03.2016	карта старая.В	перевод	35,00		283,30	2016.3						
В	03.03.2016	карта старая.В	книги	-279,00	книжка	4,30	2016.3						
В	04.03.2016	кошелек.В	подарки	-1 000,00	8марта	(950,00)	2016.3						
В	03.03.2016	кошелек.В	продукты	-100,00		(1 050,00)	2016.3						
В	03.03.2016	кошелек.В	перевод	2 000,00		950,00	2016.3						
Л	03.03.2016	кошелек.Л	перевод	-2 000,00		75 701,00	2016.3						
Л	04.03.2016	кошелек.Л	еда.обед	-200,00	макдак	75 501,00	2016.3						
Л	04.03.2016	кошелек.Л	кофе	-150,00	кофе	75 351,00	2016.3						
Л	04.03.2016	кошелек.Л	продукты	-251,00	сыр	75 100,00	2016.3						
Л	04.03.2016	л.карта.сбер	продукты	-761,00	продукты	1 430,00	2016.3						
Л	04.03.2016	л.карта.сбер	еда.обед	-436,00	тортик на работу	994,00	2016.3						
В	04.03.2016	кошелек.В	еда.обед	-300,00	обед	650,00	2016.3						
Л	06.03.2016	кошелек.Л	перевод	-5 000,00		70 100,00	2016.3						
В	06.03.2016	кошелек.В	перевод	5 000,00		5 650,00	2016.3						
В	07.03.2016	кошелек.В	авто.топливо	-1 700,00		3 950,00	2016.3						
В	07.03.2016	кошелек.В	продукты	-300,00		3 650,00	2016.3						
В	08.03.2016	кошелек.В	подарки	-550,00		3 100,00	2016.3						
Л	09.03.2016	л.карта.сбер	продукты	-593,00	продукты с варей магнит	401,00	2016.3						
Л	09.03.2016	л.карта.сбер	кофе	-325,00	кофе	76,00	2016.3						
Л	09.03.2016	кошелек.Л	продукты	-7 000,00	в метро продукты	63 100,00	2016.3						
Л	09.03.2016	кошелек.Л	Квартира	-35 000,00	аванс за зеленоградскую	28 100,00	2016.3						
Л	09.03.2016	кошелек.Л	подарки	5 000,00	от мамы Вадима	33 100,00	2016.3						
Л	09.03.2016	кошелек.Л	отдал члену семьи	-530,00	Варя в кино попкорн, вода кино	32 570,00	2016.3						
Л	09.03.2016	кошелек.Л	ресторан	-1 300,00	встреча с риэлтором	31 270,00	2016.3						
Л	09.03.2016	кошелек.Л	ресторан	-600,00	чай подписание аванса	30 670,00	2016.3						
Л	09.03.2016	кошелек.Л	транспорт	-200,00	маме на дорогу	30 470,00	2016.3						
В	09.03.2016	кошелек.В	еда.обед	-300,00		2 800,00	2016.3						
Л	09.03.2016	кошелек.Л	еда.обед	-250,00	обед	30 220,00	2016.3						
Л	09.03.2016	кошелек.Л	сигареты	-90,00	сигареты	30 130,00	2016.3						
Л	09.03.2016	кошелек.Л	транспорт	-300,00		29 830,00	2016.3						
Л	09.03.2016	кошелек.Л	отдал члену семьи	-800,00	Варе на англ.	29 030,00	2016.3						
Л	09.03.2016	кошелек.Л	продукты	-200,00	хлеб, яйца, молоко	28 830,00	2016.3						
В	09.03.2016	кошелек.В	ресторан	-2 800,00	ужин ресторан	0,00	2016.3						
Л	10.03.2016	кошелек.Л	перевод	-500,00		28 330,00	2016.3						
В	10.03.2016	кошелек.В	перевод	500,00		500,00	2016.3						
Л	10.03.2016	кошелек.Л	развлеченья	-600,00	с Варей театр	27 730,00	2016.3						
Л	10.03.2016	кошелек.Л	кофе	-235,00	кофе	27 495,00	2016.3						
Л	10.03.2016	кошелек.Л	еда.обед	-250,00	обед	27 245,00	2016.3						
Л	10.03.2016	кошелек.Л	еда.обед	-270,00	блинчик	26 975,00	2016.3						
Л	11.03.2016	кошелек.Л	кофе	-305,00	кофе	26 670,00	2016.3						
Л	11.03.2016	кошелек.Л	красота	-2 000,00	реснички	24 670,00	2016.3						
Л	11.03.2016	кошелек.Л	транспорт	-70,00	маршрутки	24 600,00	2016.3						
Л	11.03.2016	кошелек.Л	продукты	-200,00	печенье	24 400,00	2016.3						
Л	11.03.2016	кошелек.Л	еда.обед	-90,00	обед	24 310,00	2016.3						
Л	11.03.2016	кошелек.Л	сигареты	-90,00	сигареты	24 220,00	2016.3						
Л	11.03.2016	кошелек.Л	еда.обед	-75,00	мороженка	24 145,00	2016.3						
